player,score
Sam Perkins,3075.7894736842104
Xavier McDaniel,3072.4285714285706
Emeka Okafor,3054.25
Byron Beck,3053.5
Dick Barnett,3050.285714285714
Bill Cartwright,3048.5
Mike Mitchell,3048.208333333333
Lonnie Shelton,3044.5
Rick Mahorn,3042.972222222222
Fred Brown,3040.7097902097903
Nate McMillan,3038.2916666666665
Zion Williamson,3033.5
Mikal Bridges,3030.166666666666
Gordon Hayward,3017.09375
Dejounte Murray,3012.0625
Tobias Harris,3009.590909090909
Mo Williams,3001.7941176470595
Rich Jones,2988.625
Rik Smits,2988.2500000000005
Lou Williams,2971.309523809523
Thaddeus Young,2970.608695652174
Jalen Brunson,2963.214285714286
Malcolm Brogdon,2959.3888888888887
D'Angelo Russell,2957.3125
James Donaldson,2955.6388888888887
Ryan Anderson,2947.571428571429
Tom Gugliotta,2947.0
Joe Barry Carroll,2944.0714285714284
Trevor Ariza,2932.4807692307695
Jameer Nelson,2924.157894736842
Michael Redd,2911.083333333333
Al Jefferson,2906.7857142857138
Antonio Davis,2905.2352941176473
Aaron Brooks,2904.78125
Mahmoud Abdul-Rauf,2897.944444444445
Ron Harper,2890.9117647058824
Chuck Williams,2885.083333333333
Doc Rivers,2884.3333333333335
Richard Jefferson,2880.447368421053
Jim Price,2865.304945054945
Alex Caruso,2862.25
Kristaps Porziņģis,2857.636363636364
Rickey Green,2855.5625
Andrew Bogut,2851.90625
Derek Fisher,2850.5
Kenyon Martin,2847.0
Cazzie Russell,2844.25
Kirk Hinrich,2844.2058823529414
Jeff Teague,2843.125
Scott Skiles,2841.5
Herb Williams,2823.022727272727
Derrick White,2816.25
Al Harrington,2811.75
John Brisker,2801.8333333333335
Joe Smith,2794.8653846153843
Alan Henderson,2792.625
Tyrone Hill,2791.25
Jim Jackson,2786.625
Eric Gordon,2782.157894736842
Tyrone Corbin,2777.479166666666
Chris Gatling,2766.3947368421054
Jim Brewer,2758.0
Jerome Kersey,2749.617647058824
Nazr Mohammed,2748.8750000000005
Andrew Toney,2740.1875
Jeff Ruland,2739.5
Nicolas Batum,2734.8684210526317
Jason Richardson,2732.3823529411766
Mike Bibby,2731.2368421052633
Johnny Newman,2723.75
Chris Kaman,2723.4615384615386
Lamar Odom,2713.3214285714284
Stephen Jackson,2702.125
Calvin Natt,2701.166666666667
Kurt Thomas,2699.375
Wally Szczerbiak,2698.7142857142853
Andrew Bynum,2698.25
Danny Schayes,2697.022727272727
Armen Gilliam,2693.2352941176473
Kendall Gill,2691.823529411765
Freddie Lewis,2685.863697705803
E.C. Coleman,2680.75
George Johnson,2678.8236714975847
Evan Mobley,2677.875
Byron Scott,2675.678571428571
Michael Carter-Williams,2671.1153846153848
Pervis Ellison,2670.363636363636
Donyell Marshall,2667.2380952380954
Steve Mix,2662.6145833333335
Nenê,2648.7368421052633
Jonas Valančiūnas,2648.0
Cedric Ceballos,2642.6176470588234
Elden Campbell,2627.809523809524
Thabo Sefolosha,2626.5625
Michael Adams,2626.409090909091
Avery Johnson,2619.7954545454545
Mike Gminski,2612.25
Danny Green,2611.823529411765
Dell Curry,2611.28125
Olden Polynice,2608.947368421053
Harrison Barnes,2608.3333333333335
J.R. Smith,2604.083333333333
Jim Eakins,2603.3333333333335
D.J. Augustin,2600.5
Mychal Thompson,2600.392857142857
Leroy Ellis,2596.3229166666665
Eric Snow,2585.1666666666665
Mickey Johnson,2582.333333333333
Marvin Williams,2580.4411764705887
Dave Robisch,2579.977272727273
Robert Horry,2576.972222222222
Raymond Felton,2571.9375
Happy Hairston,2570.0
Wendell Ladner,2567.863636363636
David Wesley,2564.78125
Reggie Jackson,2564.75
Drew Gooden,2556.086956521739
Isaac Austin,2552.954545454545
Slick Watts,2552.375
Wayman Tisdale,2546.6785714285716
Purvis Short,2545.75
Jon McGlocklin,2545.636363636364
Austin Carr,2545.375
Mark West,2542.928571428571
